item_id;name;category;price;old_price;sellable_online;link;other_colors;short_description;designer;depth;height;width;price_usd;category_total
30323598;BILLSBRO;TV & media furniture (190);49,0;No old price;TRUE;https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-30323598/;No;Handle, 1880 mm;H Preutz/A Fredriksson;NA;NA;NA;13,230;190
80414256;VASSVIKEN;TV & media furniture (190);100,0;No old price;TRUE;https://www.ikea.com/sa/en/p/vassviken-door-drawer-front-white-80414256/;No;Door/drawer front, 60x38 cm;IKEA of Sweden;NA;NA;NA;27,000;190
291848;HANVIKEN;TV & media furniture (190);75,0;No old price;TRUE;https://www.ikea.com/sa/en/p/hanviken-door-drawer-front-white-00291848/;Yes;Door/drawer front, 60x38 cm;Marcus Arvonen;NA;38;60;20,250;190
30236153;ORRNÄS;TV & media furniture (190);17,0;No old price;TRUE;https://www.ikea.com/sa/en/p/orrnaes-knob-stainless-steel-colour-stainless-steel-30236153/;No;Knob, 17 mm;IKEA of Sweden;30;NA;17;4,590;190
60334312;BILLSBRO;TV & media furniture (190);35,0;No old price;TRUE;https://www.ikea.com/sa/en/p/billsbro-handle-white-60334312/;No;Handle, 320 mm;H Preutz/A Fredriksson;NA;NA;NA;9,450;190
9305068;BESTÅ;TV & media furniture (190);1390,0;No old price;TRUE;https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-white-kallviken-stubbarp-concrete-effect-s09305068/;Yes;Storage combination with doors, 120x42x202 cm;IKEA of Sweden;42;202;120;375,300;190
70348894;BJÄRRED;TV & media furniture (190);49,0;No old price;TRUE;https://www.ikea.com/sa/en/p/bjaerred-handle-stainless-steel-black-leather-70348894/;No;Handle, 175 mm;H Preutz/A Fredriksson;34;NA;NA;13,230;190
60441562;TIMMERVIKEN;TV & media furniture (190);60,0;No old price;TRUE;https://www.ikea.com/sa/en/p/timmerviken-drawer-front-black-60441562/;No;Drawer front, 60x26 cm;604.415.62 Drawers make it easy to keep your things organised.To be completed with BESTÅ drawer frame 60X15X40 cm and BESTÅ drawer runner, sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.;NA;26;60;16,200;190
69291407;PLATSA;TV & media furniture (190);2187,0;SR 2,580;TRUE;https://www.ikea.com/sa/en/p/platsa-media-storage-combination-s69291407/;No;Media storage combination, 320x42x241 cm;IKEA of Sweden;42;241;320;590,490;190
90265246;HISHULT;TV & media furniture (190);35,0;No old price;TRUE;https://www.ikea.com/sa/en/p/hishult-handle-porcelain-white-90265246/;No;Handle, 140 mm;K Hagberg/M Hagberg;37;NA;12;9,450;190
50342478;HACKÅS;TV & media furniture (190);50,0;No old price;FALSE;https://www.ikea.com/sa/en/p/hackas-handle-anthracite-50342478/;No;Handle, 300 mm;J Löfgren/J Pettersson;18;NA;24;13,500;190
20443624;BESTÅ;TV & media furniture (190);225,0;No old price;TRUE;https://www.ikea.com/sa/en/p/besta-top-panel-concrete-effect-light-grey-20443624/;No;Top panel, 180x42 cm;IKEA of Sweden;42;NA;180;60,750;190
50453758;RAKKESTAD;Wardrobes (236);345,0;No old price;TRUE;https://www.ikea.com/sa/en/p/rakkestad-wardrobe-with-2-doors-black-brown-50453758/;No;Wardrobe with 2 doors, 79x176 cm;IKEA of Sweden;55;176;79;93,150;236
29385672;PAX;Wardrobes (236);840,0;SR 925;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/;Yes;Wardrobe combination, 150x58x201 cm;IKEA of Sweden/Ehlén Johansson;58;201;150;226,800;236
10460888;SMÅGÖRA;Wardrobes (236);495,0;No old price;TRUE;https://www.ikea.com/sa/en/p/smagoera-wardrobe-white-10460888/;No;Wardrobe, 80x50x187 cm;IKEA of Sweden;50;187;80;133,650;236
19329304;PAX / FORSAND/VIKEDAL;Wardrobes (236);1195,0;SR 1,230;TRUE;https://www.ikea.com/sa/en/p/pax-forsand-vikedal-wardrobe-combination-black-brown-mirror-glass-s19329304/;Yes;Wardrobe combination, 150x60x201 cm;IKEA of Sweden/Ehlén Johansson;60;201;150;322,650;236
59336270;PLATSA;Wardrobes (236);1259,0;SR 1,420;TRUE;https://www.ikea.com/sa/en/p/platsa-wardrobe-with-2-doors-3-drawers-white-fonnes-white-s59336270/;No;Wardrobe with 2 doors+3 drawers, 160x42x181 cm;Ola Wihlborg/IKEA of Sweden;42;181;160;339,930;236
19323929;PLATSA;Wardrobes (236);892,0;SR 1,030;TRUE;https://www.ikea.com/sa/en/p/platsa-wardrobe-with-3-doors-white-fonnes-white-s19323929/;No;Wardrobe with 3 doors, 140x42x161 cm;IKEA of Sweden/Ola Wihlborg;42;161;140;240,840;236
441758;KLEPPSTAD;Wardrobes (236);449,0;No old price;TRUE;https://www.ikea.com/sa/en/p/kleppstad-wardrobe-with-3-doors-white-00441758/;No;Wardrobe with 3 doors, 117x176 cm;IKEA of Sweden;55;176;117;121,230;236
